citizen_id,name,age,income,state,area,category,aadhaar_number,phone_number
C1032,Neelima Tripathi,26,474813,West Bengal,Urban,Professional,345160195276,7034107534
C1033,Anya Kanda,30,57855,Tamil Nadu,Rural,Small Business,779008395443,02568520241
C1034,Anita Dutt,32,68228,Kerala,Rural,Professional,397680503117,08984608343
C1035,Chaitaly Loke,40,56060,Karnataka,Rural,Laborer,407432889472,06397214044
C1036,Balendra Dave,34,140022,Punjab,Urban,Student,901658841035,+911154451658
C1037,Brijesh Manda,64,359001,Uttar Pradesh,Rural,Student,516002508112,0645010354
C1038,Hitesh Yohannan,56,250856,Kerala,Rural,Student,687705810228,+915866230746
C1039,Teerth Dhillon,34,415633,Tamil Nadu,Rural,Professional,680893733575,+912371810055
C1040,Chaman Tripathi,69,434116,Karnataka,Rural,Homemaker,648389588290,03691129060
C1041,Yauvani Baral,53,88075,West Bengal,Rural,Farmer,481955158995,4732946758
C1042,Frado Aurora,47,82978,Bihar,Rural,Unemployed,387776552755,+915306889040
C1043,Falguni Ravel,62,496013,West Bengal,Rural,Unemployed,343025470380,6222643380
C1044,Udarsh Khalsa,56,70409,Bihar,Urban,Laborer,722758361470,7735566808
C1045,Neel Borde,65,64500,Bihar,Urban,Unemployed,995244893963,+916626297517
C1046,Vyanjana Rama,37,64952,Gujarat,Rural,Farmer,977960156015,+912519953497
C1047,Damini Varughese,38,434754,Uttar Pradesh,Urban,Laborer,740601256911,08082185913
C1048,Nirja Goyal,18,441015,Maharashtra,Urban,Laborer,603278736088,+910063372474
C1049,Yashawini Ramachandran,46,61823,Punjab,Urban,Student,589461970503,04027056526
C1050,Zehaan Patel,21,190489,Kerala,Rural,Student,319968656912,+918242288893
C1051,Lopa Kadakia,50,290492,Maharashtra,Rural,Laborer,482954494332,1521779303
C1052,Oeshi Sur,50,213567,Karnataka,Rural,Farmer,444944999705,+917581673417
C1053,Prisha Chad,60,386811,Kerala,Urban,Small Business,183663055717,0706877647
C1054,Prisha Pau,64,166213,Karnataka,Urban,Senior Citizen,235247386354,+915246476580
C1055,Leena Malhotra,47,334231,Kerala,Urban,Unemployed,514309348977,0436332685
C1056,Chandani Chhabra,39,141319,Rajasthan,Urban,Homemaker,870797970064,01840450515
C1057,Abhimanyu Parikh,29,184561,Bihar,Urban,Farmer,190323193168,+919299672190
C1058,Ira Oak,71,310664,Gujarat,Rural,Professional,727712224979,+912021567450
C1059,Ojas Raja,25,109633,Maharashtra,Rural,Homemaker,920522520880,02252730796
C1060,Oliver Shenoy,77,155624,Maharashtra,Rural,Farmer,566799932306,+911232906816
C1061,Tara Verma,78,68028,Tamil Nadu,Urban,Laborer,714003404569,08311591550
C1062,Raagini Goyal,80,393833,Punjab,Rural,Senior Citizen,508453651251,6401350436
C1063,Harshil Sarraf,26,219622,Gujarat,Rural,Farmer,218552896357,1100752674
C1064,Suhani Sharma,69,482580,Bihar,Rural,Homemaker,383629314022,3105577326
C1065,William Agrawal,18,402665,Uttar Pradesh,Urban,Unemployed,971339713051,4214944647
C1066,Dev Karan,79,431670,Gujarat,Urban,Unemployed,511698668627,00197294087
C1067,Jai Sami,31,355144,Punjab,Urban,Laborer,898411110361,+916636832998
C1068,Arunima D’Alia,56,210810,Karnataka,Urban,Small Business,452539948094,5451335994
C1069,Forum Nagar,54,241207,Bihar,Urban,Unemployed,424107980494,08397892637
C1070,Alka Ravel,79,390761,Uttar Pradesh,Rural,Senior Citizen,108111405073,07046053701
C1071,Ishaan Ramaswamy,69,169205,Maharashtra,Rural,Laborer,916801703742,+911368295182
C1072,Netra Borra,46,102288,Rajasthan,Rural,Farmer,660246680566,+914216070573
C1073,Siddharth Lad,32,113795,Uttar Pradesh,Urban,Senior Citizen,252402401225,9160991197
C1074,Isha Walia,73,344967,Karnataka,Rural,Unemployed,613658198445,+912336566963
C1075,Matthew Bera,68,439845,West Bengal,Urban,Professional,713779572948,+915704806819
C1076,Ayushman Vyas,53,86668,Kerala,Urban,Homemaker,735248538762,02436864174
C1077,Avi Mody,66,61430,Kerala,Urban,Laborer,884809319152,00480621455
C1078,Kala Sunder,57,357055,Kerala,Urban,Homemaker,100324606951,+918003794513
C1079,Harinakshi Iyengar,24,414158,Kerala,Rural,Professional,213963006415,04600331636
C1080,Damini Chaudhry,30,242341,Punjab,Rural,Small Business,334498345688,04898755247
C1081,Yashodhara Gade,59,172668,Punjab,Urban,Laborer,166869060508,+915398807477
C1082,Tanveer Barad,21,280928,Tamil Nadu,Urban,Farmer,897484284509,+915505099169
C1083,Gagan Chana,69,59364,Tamil Nadu,Rural,Homemaker,866578493706,+918499228259
C1084,Chakrika Panchal,57,251183,West Bengal,Urban,Professional,977142915544,08891917452
C1085,Indira Dutt,36,209712,West Bengal,Urban,Homemaker,793551557929,06662486028
C1086,Thomas Saha,58,70798,Kerala,Urban,Homemaker,360049899154,09952402644
C1087,Nachiket Sachar,56,345761,West Bengal,Rural,Small Business,146903263730,03973043243
C1088,Jason Sachar,24,204265,Kerala,Rural,Small Business,896622466960,+913608698673
C1089,Gaurav Bail,26,449758,Uttar Pradesh,Urban,Laborer,800280486971,5240616100
C1090,Rajata Baria,31,353024,Kerala,Rural,Unemployed,501117258464,09914396734
C1091,Nidhi Das,71,166201,Punjab,Rural,Senior Citizen,255897441838,+917300115484
C1092,Victor Amble,55,188624,Kerala,Rural,Senior Citizen,371073933355,04839252324
C1093,Amaira Choudhary,68,499595,Uttar Pradesh,Rural,Unemployed,892320401136,07754102787
C1094,Jai Issac,68,461217,Gujarat,Rural,Farmer,548071516056,07218903725
C1095,Vincent Narula,50,342886,Uttar Pradesh,Urban,Small Business,397902659648,07888044923
C1096,Oliver Verma,62,474693,West Bengal,Rural,Homemaker,230090753867,5261800819
C1097,Oeshi Jayaraman,68,260905,Rajasthan,Rural,Professional,439769211731,+916763804296
C1098,Krishna Handa,66,153220,West Bengal,Rural,Senior Citizen,896302497129,01456315614
C1099,Yahvi Ahuja,63,423023,Bihar,Urban,Farmer,808811339973,+914551834860
